iter	Passed	Remaining
0	1	142
1	2	126
2	3	120
3	4	110
4	5	110
5	6	108
6	8	107
7	9	105
8	10	104
9	11	103
10	12	102
11	13	100
12	14	99
13	16	98
14	17	97
15	18	95
16	19	94
17	20	93
18	21	92
19	22	91
20	23	89
21	25	88
22	26	87
23	27	86
24	28	84
25	29	83
26	30	82
27	31	81
28	32	80
29	34	79
30	35	78
31	36	77
32	37	75
33	38	74
34	39	73
35	40	72
36	41	71
37	42	70
38	44	68
39	45	67
40	46	66
41	46	64
42	47	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	58	53
52	59	52
53	60	51
54	60	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	41
63	70	39
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	31
72	81	29
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	90	21
81	91	19
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	111	0
